A;B;mag1;mag2;couple_mag;union_product;commun_reappro1
195;112;195;112;(195, 112);118;79
195;154;195;154;(195, 154);120;80
195;162;195;162;(195, 162);120;80
195;76;195;76;(195, 76);131;75
195;3;195;3;(195, 3);120;81
195;84;195;84;(195, 84);135;79
195;179;195;179;(195, 179);130;78
195;152;195;152;(195, 152);121;69
195;61;195;61;(195, 61);131;78
195;63;195;63;(195, 63);119;73
195;142;195;142;(195, 142);126;80
195;191;195;191;(195, 191);118;77
195;10;195;10;(195, 10);122;79
195;89;195;89;(195, 89);133;77
195;187;195;187;(195, 187);118;79
195;174;195;174;(195, 174);120;79
195;297;297;195;(195, 297);118;80
195;39;195;39;(195, 39);118;79
195;185;195;185;(195, 185);120;80
195;115;195;115;(195, 115);118;80
195;78;195;78;(195, 78);117;78
195;4;195;4;(195, 4);118;78
195;189;195;189;(195, 189);131;81
195;199;199;195;(195, 199);117;81
195;25;195;25;(195, 25);117;79
195;51;195;51;(195, 51);120;77
195;294;294;195;(195, 294);121;81
195;298;298;195;(195, 298);119;80
195;146;195;146;(195, 146);120;76
195;59;195;59;(195, 59);123;79
195;30;195;30;(195, 30);119;81
195;159;195;159;(195, 159);119;79
195;23;195;23;(195, 23);135;81
195;26;195;26;(195, 26);118;78
195;72;195;72;(195, 72);118;81
195;155;195;155;(195, 155);120;80
195;18;195;18;(195, 18);117;79
195;88;195;88;(195, 88);135;79
195;194;195;194;(195, 194);118;78
195;180;195;180;(195, 180);117;79
195;293;293;195;(195, 293);131;80
195;173;195;173;(195, 173);127;82
37;143;143;37;(37, 143);131;78
37;144;144;37;(37, 144);130;80
37;5;37;5;(37, 5);136;78
37;133;133;37;(37, 133);131;77
37;49;49;37;(37, 49);135;81
37;292;292;37;(37, 292);132;79
37;171;171;37;(37, 171);129;79
37;52;52;37;(37, 52);135;78
37;296;296;37;(37, 296);130;79
37;80;80;37;(37, 80);130;80
37;28;37;28;(37, 28);132;79
37;137;137;37;(37, 137);132;77
37;75;75;37;(37, 75);131;80
37;53;53;37;(37, 53);132;81
37;24;37;24;(37, 24);129;80
37;43;43;37;(37, 43);133;78
37;40;40;37;(37, 40);132;79
37;66;66;37;(37, 66);139;79
37;198;198;37;(37, 198);130;81
37;110;110;37;(37, 110);137;78
37;74;74;37;(37, 74);134;79
37;190;190;37;(37, 190);131;81
37;172;172;37;(37, 172);131;80
37;69;69;37;(37, 69);132;79
37;161;161;37;(37, 161);132;80
37;165;165;37;(37, 165);131;81
37;60;60;37;(37, 60);135;81
37;131;131;37;(37, 131);129;79
37;181;181;37;(37, 181);138;80
37;139;139;37;(37, 139);129;81
37;111;111;37;(37, 111);136;81
37;20;37;20;(37, 20);130;80
37;19;37;19;(37, 19);134;77
37;82;82;37;(37, 82);133;80
37;21;37;21;(37, 21);129;79
37;192;192;37;(37, 192);131;80
37;48;48;37;(37, 48);132;80
37;160;160;37;(37, 160);129;79
37;295;295;37;(37, 295);131;79
37;140;140;37;(37, 140);133;77
37;77;77;37;(37, 77);129;80
37;167;167;37;(37, 167);129;78
37;135;135;37;(37, 135);129;79
37;81;81;37;(37, 81);136;79
37;50;50;37;(37, 50);129;79
37;168;168;37;(37, 168);132;81
37;196;196;37;(37, 196);130;53
37;183;183;37;(37, 183);129;79
37;116;116;37;(37, 116);136;79
37;186;186;37;(37, 186);135;80
37;184;184;37;(37, 184);129;80
37;178;178;37;(37, 178);129;79
37;188;188;37;(37, 188);129;79
37;157;157;37;(37, 157);130;80
37;54;54;37;(37, 54);136;81
37;15;37;15;(37, 15);135;79
37;156;156;37;(37, 156);140;76
37;11;37;11;(37, 11);129;81
37;73;73;37;(37, 73);131;79
37;169;169;37;(37, 169);129;80
37;16;37;16;(37, 16);131;77
37;64;64;37;(37, 64);129;78
37;56;56;37;(37, 56);129;80
37;47;47;37;(37, 47);130;81
37;193;193;37;(37, 193);130;79
37;29;37;29;(37, 29);132;79
37;151;151;37;(37, 151);131;79
37;175;175;37;(37, 175);130;79
37;150;150;37;(37, 150);139;80
37;158;158;37;(37, 158);129;80
37;55;55;37;(37, 55);131;80
37;148;148;37;(37, 148);129;77
37;176;176;37;(37, 176);130;79
37;182;182;37;(37, 182);134;64
37;36;37;36;(37, 36);129;75
37;153;153;37;(37, 153);133;76
37;71;71;37;(37, 71);136;79
37;177;177;37;(37, 177);131;78
37;163;163;37;(37, 163);133;80
37;14;37;14;(37, 14);129;79
37;166;166;37;(37, 166);130;80
37;117;117;37;(37, 117);134;79
37;41;41;37;(37, 41);130;81
37;32;37;32;(37, 32);130;81
37;145;145;37;(37, 145);130;81
37;22;37;22;(37, 22);133;80
37;13;37;13;(37, 13);130;81
37;205;205;37;(37, 205);130;52
37;6;37;6;(37, 6);130;73
37;130;130;37;(37, 130);131;79
37;45;45;37;(37, 45);130;80
37;46;46;37;(37, 46);133;80
37;164;164;37;(37, 164);129;78
37;27;37;27;(37, 27);130;79
37;67;67;37;(37, 67);132;80
37;12;37;12;(37, 12);132;79
37;112;112;37;(37, 112);130;79
37;154;154;37;(37, 154);132;80
37;162;162;37;(37, 162);132;80
37;76;76;37;(37, 76);137;75
37;3;37;3;(37, 3);131;81
37;84;84;37;(37, 84);133;79
37;179;179;37;(37, 179);130;78
37;152;152;37;(37, 152);134;69
37;61;61;37;(37, 61);137;78
37;63;63;37;(37, 63);130;73
37;142;142;37;(37, 142);130;80
37;191;191;37;(37, 191);130;77
37;10;37;10;(37, 10);134;79
37;89;89;37;(37, 89);133;76
37;187;187;37;(37, 187);130;79
37;174;174;37;(37, 174);129;79
37;297;297;37;(37, 297);131;79
37;39;39;37;(37, 39);129;79
37;185;185;37;(37, 185);132;80
